Year Folder,Year,File Name,Original Path,Destination Path,File Size (KB)
2019-20251215T193740Z-1-001,2019,855683_10K_2019_0001437749-20-006563.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2019-20251215T193740Z-1-001\2019\855683_10K_2019_0001437749-20-006563.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2019-20251215T193740Z-1-001\2019\855683_10K_2019_0001437749-20-006563.json,46.27
2019-20251215T193740Z-1-001,2019,1347178_10K_2019_0001347178-20-000003.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2019-20251215T193740Z-1-001\2019\1347178_10K_2019_0001347178-20-000003.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2019-20251215T193740Z-1-001\2019\1347178_10K_2019_0001347178-20-000003.json,47.25
2019-20251215T193740Z-1-001,2019,1097149_10K_2019_0001097149-20-000008.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2019-20251215T193740Z-1-001\2019\1097149_10K_2019_0001097149-20-000008.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2019-20251215T193740Z-1-001\2019\1097149_10K_2019_0001097149-20-000008.json,67.38
2019-20251215T193740Z-1-001,2019,889609_10K_2019_0001683168-20-000831.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2019-20251215T193740Z-1-001\2019\889609_10K_2019_0001683168-20-000831.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2019-20251215T193740Z-1-001\2019\889609_10K_2019_0001683168-20-000831.json,95.3
2020-20251215T192047Z-1-001,2020,1643988_10K_2020_0001387131-21-004517.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2020-20251215T192047Z-1-001\2020\1643988_10K_2020_0001387131-21-004517.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2020-20251215T192047Z-1-001\2020\1643988_10K_2020_0001387131-21-004517.json,80.83
2020-20251215T192047Z-1-001,2020,1801075_10K_2020_0001801075-21-000005.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2020-20251215T192047Z-1-001\2020\1801075_10K_2020_0001801075-21-000005.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2020-20251215T192047Z-1-001\2020\1801075_10K_2020_0001801075-21-000005.json,94.68
2020-20251215T192047Z-1-001,2020,1262976_10K_2020_0001262976-20-000060.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2020-20251215T192047Z-1-001\2020\1262976_10K_2020_0001262976-20-000060.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2020-20251215T192047Z-1-001\2020\1262976_10K_2020_0001262976-20-000060.json,84.89
2020-20251215T192047Z-1-001,2020,1596946_10K_2020_0001564590-20-029174.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2020-20251215T192047Z-1-001\2020\1596946_10K_2020_0001564590-20-029174.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2020-20251215T192047Z-1-001\2020\1596946_10K_2020_0001564590-20-029174.json,99.18
2020-20251215T192047Z-1-001,2020,857855_10K_2020_0000857855-21-000012.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2020-20251215T192047Z-1-001\2020\857855_10K_2020_0000857855-21-000012.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2020-20251215T192047Z-1-001\2020\857855_10K_2020_0000857855-21-000012.json,70.39
2021-20251215T191540Z-1-001,2021,1421517_10K_2021_0001421517-22-000037.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2021-20251215T191540Z-1-001\2021\1421517_10K_2021_0001421517-22-000037.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2021-20251215T191540Z-1-001\2021\1421517_10K_2021_0001421517-22-000037.json,44.64
2021-20251215T191540Z-1-001,2021,1716166_10K_2021_0001493152-22-008452.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA\2021-20251215T191540Z-1-001\2021\1716166_10K_2021_0001493152-22-008452.json,C:\Users\aj_go\OneDrive - purdue.edu\10k extraction\MDA_Sampling\random_samples_2025-12-16_10-09-22\2021-20251215T191540Z-1-001\2021\1716166_10K_2021_0001493152-22-008452.json,65.51
